Frequency (Hz),Magnitude (dB),Phase (degrees)
100,-0.040667235181256686,-3.8520000000000003
199,-0.10297630943080684,-8.051118210862622
200,-0.10772790704228373,-7.499999999999999
300,-0.21618607836757495,-11.25
399,-0.36124973738665506,-14.971209213051823
400,-0.3608746389352812,-14.999999999999998
500,-0.539454633117761,-18.576
599,-0.7304256597102959,-21.765834932821498
699,-0.9587688236989487,-24.99440089585666
800,-1.2008034857424739,-28.117797695262485
900,-1.4423881548105146,-30.86455331412104
1000,-1.7182313018245656,-33.407999999999994
1100,-1.9871658125548266,-35.809859154929576
1199,-2.26277737549459,-38.349328214971216
1299,-2.549153053149837,-40.41580041580041
1401,-2.8220117001759872,-42.37668161434977
1498,-3.1040502170711464,-44.24460431654676
1598,-3.385195128290699,-46.03580562659847
1698,-3.67309442948832,-47.93478260869564
1801,-3.951180496300909,-49.279538904899134
1899,-4.217741832202087,-50.88145896656535
1996,-4.481635879170752,-52.33226837060702
2097,-4.751371758989895,-53.15436241610738
2200,-5.006401848559598,-54.507042253521114
2297,-5.25874999724564,-55.588235294117645
2403,-5.505262893778453,-56.76923076923077
2500,-5.758369236722584,-57.772800000000004
2599,-5.995280888502845,-58.77703826955075
2700,-6.225199843928291,-59.74070872947277
2800,-6.468035860148533,-60.806451612903224
2898,-6.692983608794257,-61.23840445269016
2999,-6.916498320391771,-62.01535508637236
3198,-7.347964596175501,-63.74616171954964
3299,-7.555192759706435,-64.14994720168954
3400,-7.762027078338736,-64.73340587595213
3499,-7.9740555468281595,-65.05599104143337
3600,-8.293412281746185,-65.94470046082951
3698,-8.367495162105477,-66.88757396449705
3801,-8.554084258562153,-67.22627737226277
3901,-8.761742091682924,-67.86516853932585
4001,-8.932580293369867,-67.75928297055059
4101,-9.112653051111089,-68.74015748031496
4200,-9.276469534313769,-69.19354838709678
4298,-9.468707857383027,-68.83081155433287
4401,-9.643739392083685,-69.21126760563381
4502,-9.795035713973192,-69.76945244956771
4602,-9.950945031528217,-70.51546391752576
4699,-10.109164700585616,-70.37593984962406
4800,-10.260422883687603,-71.05990783410138
4898,-10.457219030902426,-70.53291536050158
5000,-10.59112659685287,-72.00000000000001
5097,-10.732919409186167,-72.23491027732463
5199,-10.888568635941468,-72.02995008319466
5296,-11.053579533175384,-72.61016949152543
5397,-11.166659619886381,-72.82383419689118
5600,-11.207160611462452,-73.87096774193549
5702,-11.605567118607832,-73.57664233576642
5797,-11.739355885964699,-74.13729128014842
5896,-11.87074349560833,-74.2075471698113
5998,-12.012802957614088,-74.6257197696737
6103,-12.130472714962368,-75.23437499999999
6300,-12.391013356038592,-75.48387096774194
6403,-12.525943837987343,-74.69262295081968
6496,-12.653256428726735,-75.40540540540542
6599,-12.781472829303684,-75.64941921858501
6706,-12.873775586181633,-75.70815450643775
6998,-13.15132966856096,-75.83986562150056
7006,-13.177057991022554,-76.15695067264573
7100,-13.265545010384084,-75.86481113320079
7400,-13.594890403622495,-76.30550621669627
7598,-13.865950286191556,-76.54103343465044
7802,-14.108322852809314,-76.85393258426967
7997,-14.231813211386775,-77.447216890595
8202,-14.422778014228006,-77.1259842519685
8300,-14.514871252485438,-77.56972111553785
8497,-14.714049219242831,-77.70224337185589
8698,-14.915211428277635,-77.78705636743216
8802,-15.087943570517798,-77.95774647887325
8999,-15.176633169210918,-78.1425485961123
9097,-15.266960066789498,-78.34061135371178
9197,-15.34794843453344,-78.67549668874172
9697,-15.793488106822826,-79.03801396431342
9796,-15.85995320949854,-79.27899686520377
10096,-16.116538632798683,-79.24071082390954
10296,-16.3450428304693,-79.91762767710048
10399,-16.34633060396761,-79.21797004991681
10897,-16.729049264048797,-80.58413251961639
11003,-16.783490311972532,-80.10814889336018
11996,-17.501494870863937,-80.49904030710172
12993,-18.143399252815666,-81.58004158004158
14000,-18.70393822837753,-81.93548387096774
15002,-19.66176232572245,-82.5252040326452
16005,-19.84126697713286,-82.50960307298337
17002,-20.31124374958968,-83.04678998911862
17006,-20.353898773161383,-83.63265306122449
18001,-20.80487314110977,-83.26036866359445
20006,-21.68358225044389,-84.23815620998721
21001,-22.08946322143146,-84.19354838709677
21008,-22.09414299806451,-84.40336134453783
21999,-22.476450429426457,-84.37697993664204
22007,-22.480155305496957,-84.35010060362173
23003,-22.84366107595883,-85.06440927493561
24999,-23.573240473003715,-85.32
25987,-23.906205341982943,-84.94802494802495
25998,-23.588268704037965,-85.73211314475874
28001,-24.246960915517747,-86.20967741935485
29976,-25.109316052161983,-86.33093525179855
30004,-25.07844830666771,-86.19779164666346
31969,-25.668853048594144,-86.31713554987215
32002,-25.651739180950972,-86.26728110599078
34004,-26.175392450947484,-86.52339499455933
37004,-26.880234117595528,-86.74955595026644
37993,-27.328232119180093,-86.00607902735564
39987,-27.5600804432068,-87.06333973128598
42002,-27.94989603686598,-87.03629032258064
42999,-28.168472536105654,-87.4922600619195
43983,-28.58819541846544,-86.38986629134413
45989,-28.754867074427327,-86.49006622516555
48003,-29.123498361716372,-87.51152073732717
49000,-29.28361518941808,-86.93061544492355
51020,-29.82303700801367,-87.57551020408164
53011,-29.98195668521449,-87.93893129770991
55017,-30.303087258403835,-87.78169014084506
56003,-30.45899676514992,-88.2258064516129
59017,-30.91323769261284,-87.8753541076487
72004,-32.60773874176816,-87.40783410138249
85034,-34.06399859279834,-87.91836734693878
87047,-34.28343161765659,-88.43314763231197
89031,-34.476914589391626,-88.46153846153847
90975,-34.66388723040705,-88.29694323144105
93005,-34.8322219573329,-88.39285714285714
94984,-35.06655132558292,-88.6322188449848
97049,-35.21623401241611,-88.46273291925468
97962,-35.31568634000233,-88.16614420062696
99049,-35.392544240695564,-88.1458003169572
99999,-35.51151733680811,-88.464
100969,-35.57165243039992,-88.69143780290794
101957,-35.664509902748236,-88.67862969004895
